accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000258.v2.p1","Human Gut Microbiome in Amish Obesity","Emerging evidence that the gut microbiota may contribute in important ways to human health and disease has led us and others to hypothesize that both symbiotic and pathological relationships  between gut microbes and their host may be key contributors to obesity and the metabolic complications of obesity. Our ""Thrifty Microbiome Hypothesis","Obesity","Metagenomics","Not Provided","Not Applicable","AMPLICON","3 phenotype datasets, 21 variables, 20 documents,  SRA, 404 subjects, 599 samples","","NIDDK","HMP --- Human microbiome research","2011-04-15","2011-06-23","Morbid Obesities; Morbid Obesity; OBESITY, SEVERE; Obesities, Morbid; Obesities, Severe; Obesity, Morbid"
"phs000259.v2.p1","Urethral Microbiome of Adolescent Males","Urethral microbiome of adolescent males is designed to characterize the microbial communities resident in the urethra of young men, to identify differences in these communities as a function of  race/ethnicity, circumcision status, sexual exposures, and uro-genital symptoms. We collect detailed sexual behavior and symptoms data using cellular","Urethritis","Metagenomics","Not Provided","Not Applicable","AMPLICON, WGS","6 phenotype datasets, 46 variables,  SRA, 55 subjects, 144 samples","","NIAID","HMP --- Human microbiome research","2011-03-10","2010-06-07","Genital Organs, Male; Genital, Male; Genitalia, Male; Genitals, Male; Male Genital; Male Genital Organ"
"phs000260.v4.p2","Foregut Microbiome in Development of Esophageal Adenocarcinoma","The distal esophagus is an important anatomical area where gastric acid reflux can cause reflux esophagitis (RE), Barrett's esophagus (BE) (intestinal metaplasia), and esophageal adenocarcinoma (EA). The incidence of  EA has increased 6-fold in the U.S. since the 1970s, parallel to a significant increase in the prevalence of gastroesophageal reflux diseases (GERD","Esophageal Adenocarcinoma","Case-Control","Not Provided","Not Applicable","AMPLICON, WGS","4 phenotype datasets, 20 variables, 5 documents,  SRA, 110 subjects, 575 samples","","NCI","HMP --- Human microbiome research","2017-10-13","2011-07-01","BARRETT METAPLASIA; BE; Barret syndrome; Barrett Metaplasias; Barrett Syndrome; Barrett esophagus"
"phs000261.v1.p1","The Microbial Ecology of Bacterial Vaginosis","Archived self-collected vaginal swabs were utilized from a pilot study of vaginal douching cessation (NIH/NIAID R03-AI061131). Thirty-nine non-pregnant, reproductive-age women who reported the use of vaginal douche products in  the two months prior to screening were enrolled. Thirty-three of these successfully completed the 16-week longitudinal study. Participants self","Vaginosis, Bacterial","Metagenomics","Not Provided","Not Applicable","AMPLICON","4 phenotype datasets, 27 variables, 6 documents,  SRA, 34 subjects, 998 samples","","NIAID","HMP --- Human microbiome research","2010-06-28","2011-06-28","BV; BV - Bacterial vaginosis; Bacterial Vaginitides; Bacterial Vaginitis; Bacterial Vaginoses; Nonspecific Vaginitis"
"phs000262.v3.p2","The Role of the Gut Microbiota in Ulcerative Colitis","The aims of the multi-center Ulcerative Colitis Human Microbiome Project (UCHMP) are to examine the role of the enteric microbiome in causing human ulcerative colitis, specifically the development of  pouchitis. Pouchitis is an inflammatory condition of the surgically-created ileoanal pouch that serves as a pseudo-rectum in patients with ulcerative","Pouchitis","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","4 phenotype datasets, 26 variables, 6 documents,  SRA, 50 subjects, 612 samples","","NIDDK","HMP --- Human microbiome research","2017-09-08","2017-09-08","Colitis Gravis; Colitis ulcerosa; Colitis, Ulcerative; Idiopathic Proctocolitis; Inflammatory Bowel Disease, Ulcerative Colitis Type; UC - Ulcerative colitis"
"phs000263.v1.p1","Metagenomic Study of the Human Skin Microbiome Associated with Acne","Acne vulgaris affects 17 million Americans, more than 80% of the people of age 12-24. The goal of this study is to investigate the relationship between acne pathogenesis and  the skin microbiota residing in the microcomedones. This study will enroll approximately 100 healthy individuals and acne patients, both male and","Acne Vulgaris","Metagenomics","Not Provided","Not Applicable","Not Provided","5 phenotype datasets, 25 variables,  SRA, 94 subjects, 165 samples","","NIAMS","HMP --- Human microbiome research","2010-06-22","2011-06-22","Not Provided"
"phs000265.v3.p1","The Human Gut Microbiome and Recurrent Abdominal Pain in Children","This project explores the nature of the human intestinal microbiome in healthy children and children with recurrent abdominal pain. The overall goal is to obtain a robust knowledge-base of  the intestinal microbiome in children without evidence of pain or gastrointestinal disease, children with functional abdominal pain, and children","Irritable Bowel Syndrome","Metagenomics","Not Provided","Not Applicable","AMPLICON","4 phenotype datasets, 43 variables, 5 documents,  SRA, 69 subjects, 127 samples","","NIDDK","HMP --- Microbiome","2011-10-17","2011-06-07","Digestive System Disease; Digestive System Diseases; Disease, Digestive System; Diseases, Digestive System; Gastrointestinal and digestive disorder; System Disease, Digestive"
"phs000266.v4.p1","Skin Microbiome in Disease States: Atopic Dermatitis and Immunodeficiency","The NIH Intramural Skin Microbiome Consortium (NISMC) is a collaboration of investigators with primary expertise in genomics, bioinformatics, large-scale DNA sequencing, dermatology, immunology, allergy, infectious disease, and clinical microbiology.  Atopic dermatitis (AD, ""eczema"") is a chronic relapsing skin disorder that affects 15% of U.S. children and is associated with $1 billion of medical","Dermatitis, Atopic","Prospective Longitudinal Cohort","Not Provided","Not Applicable","AMPLICON","5 phenotype datasets, 29 variables,  SRA, 114 subjects, 3211 samples","","NIAMS","HMP --- Human microbiome research","2013-10-25","2012-09-13","AD - Atopic dermatitis; ATOD; Allergic dermatitis; Allergic eczema; Atopic Dermatitides; Atopic Eczema"
"phs000267.v5.p2","Autism Genome Project (AGP) Consortium - GWAS - Stage I and II","Autism spectrum disorders (ASDs) are highly heritable ( 90%), yet the underlying genetic determinants are largely unknown. To understand the genetic and phenotypic heterogeneity in ASDs, we analyzed 2,611  strictly defined ASD families with over 1,000,000 single nucleotide polymorphisms (SNPs), and applied multiple analytical strategies to examine these","Autistic Disorder","Family/Twin/Trios","Human1Mv1_C, Human1M-Duov3_B, Human1Mv1_C, Human_1M, Human1M-Duov3","Not Applicable","CNV Genotypes, SNP Genotypes (Array)","5 phenotype datasets, 25 variables, 1 documents, 126 analyses, 4 molecular datasets, 7880 subjects, 7880 samples","European (6911), African (38), East Asian (77), African American (115), Hispanic1 (109), Hispanic2 (390), Other Asian or Pacific Islander (53), South Asian (74), Other (80)","NIMH","DS-ASD --- Disease-specific (autism spectrum disorder)","2017-01-09","2014-04-24","Child Development Disorders, Pervasive; Pervasive Child Development Disorders; AUTISTIC DISORDER; AUTS; Autism; Autism (209850)"
"phs000268.v1.p1","Genotyping NIGMS CEPH Samples from the United States, Venezuela, and    France","The Human Genetic Cell Repository (HGCR) is sponsored by the National Institute of General Medical Sciences (NIGMS) with the mission of supplying scientists with the materials for accelerating disease  gene discovery and functional studies. The resources available include highly-characterized, contaminant-free fibroblast cell lines, transformed","Cell Line","Case-Control","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 17 variables, 1 molecular datasets, 181 subjects, 184 samples","European (153), Hispanic2 (28)","NIGMS","GRU --- General research use","2011-02-25","2011-02-25","Normalcies; Normalcy; Normalities"
"phs000269.v1.p1","Genotyping NIGMS Chromosomal Aberration and Inherited Disorder Samples","As part of an effort to correlate molecular copy number variation determinations with state of the art karyotype analyses, 716 samples derived from 697 individuals from the Chromosomal Aberrations  and Inherited Disorders collections of the NIGMS Human Genetic Cell Repository were genotyped and analyzed for CNV determination by the Microarray","Chromosome Disorders","Cross-Sectional","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 13 variables, 1 molecular datasets, 697 subjects, 716 samples","European (527), African (8), East Asian (7), African American (67), Hispanic1 (25), Hispanic2 (37), Other Asian or Pacific Islander (7), South Asian (10), Other (9)","NIGMS","GRU --- General research use","2010-08-10","2010-08-11","Anomaly of chromosome; Chromosomal Disorder; Chromosomal Disorders; Chromosomal abnormality syndrome; Chromosomal anomaly; Chromosomal hereditary disorder"
"phs000272.v1.p1","Genome-Wide Association Study of Beh et's Disease (Turkish)","Introduction Beh̤et's disease (BD) is a genetically complex multisystem disease of unknown etiology, characterized by recurrent inflammatory attacks affecting orogenital mucosa, eyes, skin, joints, blood vessels, and less frequently,  the central nervous system and gastrointestinal tract. Family studies suggest a genetically complex contribution to BD. With the exception of HLA-B51","Behcet Syndrome","Case-Control","HumanCNV370-Duo_v1","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 7 variables, 1 analyses, 1 molecular datasets, 2493 subjects, 2493 samples","European (1283), Hispanic1 (26), Other (1184)","NIAMS","GRU --- General research use","2010-09-27","2011-09-27","Adamantiades Behcet Disease; Adamantiades-Behcet Disease; Adamantiades-Behcet Diseases; BD; BEHCET DISEASE; Behcet Triple Symptom Complex"
"phs000273.v1.p1","High-Throughput Retrotransposon Discovery in Humans","The aim of this study is to discover LINE-1 (L1) insertion sites present in humans that are absent from the reference genome sequence. We use the distinguishing nucleotide characteristics  of human-specific L1 elements to resequence the L1 3' flanking regions thus locating the L1 insertion sites whether or not they are present in the","Normalcy","Cross-Sectional","Not Provided","Not Applicable","AMPLICON, CLONE","3 phenotype datasets, 14 variables, 1 documents,  SRA, 25 subjects, 25 samples","","NIGMS","GRU --- General research use","2011-07-12","","Normalcies; Normalities"
"phs000274.v1.p1","Genome-Wide Association Study of Celiac Disease","Celiac disease (gluten-sensitive enteropathy, celiac sprue) is a common disease with significant morbidity and mortality. It is caused by sensitivity to the dietary protein gluten, resulting in a chronic  enteropathy in the small intestine. Celiac disease is now recognized to be a common disease, with reports that the disease frequency is 1:133 in the","Celiac Disease","Case-Control","Human660W-Quad_v1_A","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 14 variables, 1 molecular datasets, 2300 subjects, 2394 samples","European (2203), African (2), East Asian (1), African American (2), Hispanic1 (7), Hispanic2 (21), Other Asian or Pacific Islander (2), South Asian (5), Other (3)","NIDDK","GRU --- General research use","2011-11-30","2012-11-30","CD - Celiac disease; CELIAC SPRUE, SUSCEPTIBILITY TO, 1; CELIAC1; CS - Celiac sprue; Celiac Sprue; Celiac disease"
"phs000275.v1.p1","BWH MS Genetic Collection","The main objective of this GWA study is to identify Multiple Sclerosis (MS) susceptibility loci. Whole-genome association analysis was performed on 924 individuals genotyped on the Affymetrix 6.0 Genechip.  The cohort consisted of 860 clinically diagnosed MS patients and 64 control subjects.","Multiple Sclerosis","Case-Control","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 13 variables, 1 molecular datasets, 924 subjects, 924 samples","European (919), Hispanic1 (2), Hispanic2 (2), Other (1)","NINDS","MSRD --- Ms and related disorders","2012-10-02","2013-10-02","DS - Disseminated sclerosis; Disseminated Sclerosis; MS (Multiple Sclerosis); MS - Multiple sclerosis; Sclerosis, Disseminated; Sclerosis, Multiple"
"phs000276.v2.p1","STAMPEED: Northern Finland Birth Cohort 1966 (NFBC1966)","The Northern Finland Birth Cohorts program (NFBC) was initiated in the 1960s in the two northernmost provinces of Finland to study risk factors involved in pre-term birth and intrauterine  growth retardation, and the consequences of these early adverse events on subsequent morbidity and mortality. The uniqueness of NBFCs is that the","Metabolic Syndrome X","Prospective Longitudinal Cohort","HumanCNV370-Duo_v1","Not Applicable","SNP Genotypes (Array), WXS","4 phenotype datasets, 34 variables, 9 analyses, 1 molecular datasets,  SRA, 5415 subjects, 10931 samples","European (5353), Hispanic2 (2), Other (47)","NHLBI","GRU --- General research use","2014-01-24","2014-01-24","Cholesterol Level, High; Cholesterol Levels, High; Cholesterol, Elevated; Cholesterols, Elevated; Elevated Cholesterol; Elevated Cholesterols"
